timeStamp,styleid,name,rating,reviewCount,priceNow,priceWas,size,inventory
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,11,4
2016-04-14T11:20:10.018,570175150,TRIANGLE DROP STUD EARRINGS,NA,0,33.00,NA,NA,20+
2016-04-14T11:20:10.018,570051339,CUBIC ZIRCONIA DROP EARRINGS,4.7,41,26.40,NA,NA,20+
2016-04-14T11:20:10.018,570166841,SODALITE ASYMMETRIC OPEN CUFF,3,1,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570172608,CUTOUT CLUTCH,NA,0,107.80,NA,NA,20+
2016-04-14T11:20:10.018,570172753,ANGULAR STUD EARRINGS WITH CRYSTALS FROM SWAROVSKI,NA,0,27.50,NA,NA,20+
2016-04-14T11:20:10.018,570166828,SANDBLAST TEXTURED HOOPS,NA,0,33.00,NA,NA,20+
2016-04-14T11:20:10.018,570175173,SHELL LOCK PENDANT NECKLACE,NA,0,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570175106,Y-DROP NECKLACE WITH CRYSTALS FROM SWAROVSKI,3,1,49.50,NA,NA,20+
2016-04-14T11:20:10.018,570166933,JET CRYSTAL STRETCH BRACELET SET,3,1,49.50,NA,NA,20+
2016-04-14T11:20:10.018,570173063,LEATHER SNAKE EMBOSSED BELT,NA,0,59.40,NA,XXS,17
2016-04-14T11:20:10.018,570173063,LEATHER SNAKE EMBOSSED BELT,NA,0,59.40,NA,XS,20+
2016-04-14T11:20:10.018,570173063,LEATHER SNAKE EMBOSSED BELT,NA,0,59.40,NA,S,20+
2016-04-14T11:20:10.018,570173063,LEATHER SNAKE EMBOSSED BELT,NA,0,59.40,NA,L,20+
2016-04-14T11:20:10.018,570173063,LEATHER SNAKE EMBOSSED BELT,NA,0,59.40,NA,XL,20+
2016-04-14T11:20:10.018,570173063,LEATHER SNAKE EMBOSSED BELT,NA,0,59.40,NA,XXL,10
2016-04-14T11:20:10.018,570173063,LEATHER SNAKE EMBOSSED BELT,NA,0,59.40,NA,M,20+
2016-04-14T11:20:10.018,570172666,INTERLOCKED CIRCLE DROP EARRINGS,NA,0,33.00,NA,NA,20+
2016-04-14T11:20:10.018,570164431,TURNLOCK CROSSBODY BAG,5,1,85.80,NA,NA,20+
2016-04-14T11:20:10.018,570167217,RETRO BLACK SUNGLASSES,NA,0,41.80,NA,NA,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,5,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,5.5,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,6,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,6.5,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,7,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,7.5,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,8,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,8.5,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,9,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,9.5,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,10,20+
2016-04-14T11:20:10.018,570171274,SUEDE CHUNKY HEELS,NA,0,137.50,NA,11,16
2016-04-14T11:20:10.018,570173774,SILK GEOMETRIC PRINT OBLONG SCARF,NA,0,74.80,NA,NA,20+
2016-04-14T11:20:10.018,570167210,RIMLESS AVIATOR SUNGLASSES,4,1,41.80,NA,NA,20+
2016-04-14T11:20:10.018,570166124,OLIVIA LEATHER PUMPS,4.7,27,143.00,NA,6,7
