timeStamp,styleid,name,rating,ratingCount,price,priceNow,priceWas,size,inventory
2016-02-06 08:13:05.423,570161916,Chunky Platform Heels,5.0,4,143.00,NA,NA,9.5,20+
2016-02-06 08:13:05.423,570161916,Chunky Platform Heels,5.0,4,143.00,NA,NA,10,20+
2016-02-06 08:13:05.423,570161916,Chunky Platform Heels,5.0,4,143.00,NA,NA,11,20+
2016-02-06 08:13:05.423,570153645,V-Neck Layered Shell,4.25,8,NA,54.99,92.40,S,20+
2016-02-06 08:13:05.423,570153645,V-Neck Layered Shell,4.25,8,NA,54.99,92.40,M,20+
2016-02-06 08:13:05.423,570153645,V-Neck Layered Shell,4.25,8,NA,54.99,92.40,L,20+
2016-02-06 08:13:05.423,570153645,V-Neck Layered Shell,4.25,8,NA,54.99,92.40,XL,20+
2016-02-06 08:13:05.423,570160469,Multi-Strand Tassel Necklace,5.0,1,NA,30.79,60.50,NA,20+
2016-02-06 08:13:05.423,570165819,Petite Saint Honore Mid Rise Skinny Flare Jeans,0.0,0,NA,69.30,92.40,00 - Petite,20+
2016-02-06 08:13:05.423,570165819,Petite Saint Honore Mid Rise Skinny Flare Jeans,0.0,0,NA,69.30,92.40,0 - Petite,20+
2016-02-06 08:13:05.423,570165819,Petite Saint Honore Mid Rise Skinny Flare Jeans,0.0,0,NA,69.30,92.40,2 - Petite,20+
2016-02-06 08:13:05.423,570165819,Petite Saint Honore Mid Rise Skinny Flare Jeans,0.0,0,NA,69.30,92.40,4 - Petite,20+
2016-02-06 08:13:05.423,570165819,Petite Saint Honore Mid Rise Skinny Flare Jeans,0.0,0,NA,69.30,92.40,6 - Petite,20+
2016-02-06 08:13:05.423,570165819,Petite Saint Honore Mid Rise Skinny Flare Jeans,0.0,0,NA,69.30,92.40,8 - Petite,20+
2016-02-06 08:13:05.423,570165819,Petite Saint Honore Mid Rise Skinny Flare Jeans,0.0,0,NA,69.30,92.40,10 - Petite,20+
2016-02-06 08:13:05.423,570165819,Petite Saint Honore Mid Rise Skinny Flare Jeans,0.0,0,NA,69.30,92.40,12 - Petite,20+
2016-02-06 08:13:05.423,570165819,Petite Saint Honore Mid Rise Skinny Flare Jeans,0.0,0,NA,69.30,92.40,14 - Petite,20+
2016-02-06 08:13:05.423,570148906,Zipped Miniskirt,4.67,21,NA,43.99,85.80,6,20+
2016-02-06 08:13:05.423,570148906,Zipped Miniskirt,4.67,21,NA,43.99,85.80,8,20+
2016-02-06 08:13:05.423,570148906,Zipped Miniskirt,4.67,21,NA,43.99,85.80,10,20+
2016-02-06 08:13:05.423,570148906,Zipped Miniskirt,4.67,21,NA,43.99,85.80,12,20+
2016-02-06 08:13:05.423,570148906,Zipped Miniskirt,4.67,21,NA,43.99,85.80,14,20+
2016-02-06 08:13:05.423,570148906,Zipped Miniskirt,4.67,21,NA,43.99,85.80,16,20+
2016-02-06 08:13:05.423,570152991,Lightweight Turtleneck,4.24,17,NA,32.99,74.80,XS,20+
2016-02-06 08:13:05.423,570152991,Lightweight Turtleneck,4.24,17,NA,32.99,74.80,S,20+
2016-02-06 08:13:05.423,570152991,Lightweight Turtleneck,4.24,17,NA,32.99,74.80,M,20+
2016-02-06 08:13:05.423,570152991,Lightweight Turtleneck,4.24,17,NA,32.99,74.80,L,20+
2016-02-06 08:13:05.423,570152991,Lightweight Turtleneck,4.24,17,NA,32.99,74.80,XL,20+
2016-02-06 08:13:05.423,570158331,Sparkle Turtleneck Sweater,3.44,9,NA,54.99,107.80,XS,20+
2016-02-06 08:13:05.423,570158331,Sparkle Turtleneck Sweater,3.44,9,NA,54.99,107.80,S,20+
2016-02-06 08:13:05.423,570158331,Sparkle Turtleneck Sweater,3.44,9,NA,54.99,107.80,M,20+
2016-02-06 08:13:05.423,570158331,Sparkle Turtleneck Sweater,3.44,9,NA,54.99,107.80,L,20+
2016-02-06 08:13:05.423,570158331,Sparkle Turtleneck Sweater,3.44,9,NA,54.99,107.80,XL,20+
2016-02-06 08:13:05.423,570161230,Split-Front Pullover,4.0,5,NA,54.99,96.80,XXS,20+
2016-02-06 08:13:05.423,570161230,Split-Front Pullover,4.0,5,NA,54.99,96.80,XS,20+
2016-02-06 08:13:05.423,570161230,Split-Front Pullover,4.0,5,NA,54.99,96.80,S,20+
2016-02-06 08:13:05.423,570161230,Split-Front Pullover,4.0,5,NA,54.99,96.80,M,20+
2016-02-06 08:13:05.423,570161230,Split-Front Pullover,4.0,5,NA,54.99,96.80,L,20+
2016-02-06 08:13:05.423,570161230,Split-Front Pullover,4.0,5,NA,54.99,96.80,XL,20+
2016-02-06 08:13:05.423,570155425,Taffeta Midi Skirt,4.0,5,154.00,NA,NA,00,20+
2016-02-06 08:13:05.423,570155425,Taffeta Midi Skirt,4.0,5,154.00,NA,NA,0,20+
2016-02-06 08:13:05.423,570155425,Taffeta Midi Skirt,4.0,5,154.00,NA,NA,2,20+
2016-02-06 08:13:05.423,570155425,Taffeta Midi Skirt,4.0,5,154.00,NA,NA,4,20+
2016-02-06 08:13:05.423,570155425,Taffeta Midi Skirt,4.0,5,154.00,NA,NA,6,20+
2016-02-06 08:13:05.423,570155425,Taffeta Midi Skirt,4.0,5,154.00,NA,NA,8,20+
2016-02-06 08:13:05.423,570155425,Taffeta Midi Skirt,4.0,5,154.00,NA,NA,10,20+
2016-02-06 08:13:05.423,570155425,Taffeta Midi Skirt,4.0,5,154.00,NA,NA,12,20+
2016-02-06 08:13:05.423,570155425,Taffeta Midi Skirt,4.0,5,154.00,NA,NA,14,20+
2016-02-06 08:13:05.423,570155425,Taffeta Midi Skirt,4.0,5,154.00,NA,NA,16,20+
2016-02-06 08:13:05.423,570156140,Twist Neck Sweater,3.71,21,NA,32.99,74.80,M,20+
2016-02-06 08:13:05.423,570148670,Leather Skirt,4.76,21,NA,175.99,330.00,8,20+
2016-02-06 08:13:05.423,570148670,Leather Skirt,4.76,21,NA,175.99,330.00,10,20+
2016-02-06 08:13:05.423,570148670,Leather Skirt,4.76,21,NA,175.99,330.00,12,20+
2016-02-06 08:13:05.423,570148670,Leather Skirt,4.76,21,NA,175.99,330.00,16,20+
2016-02-06 08:13:05.423,570157153,Sleeveless Coverup,4.81,16,NA,54.99,107.80,L,20+
2016-02-06 08:13:05.423,570157153,Sleeveless Coverup,4.81,16,NA,54.99,107.80,XL,20+
2016-02-06 08:13:05.423,570161036,Open Bar Cuff With Crystals From Swarovski,5.0,1,NA,23.09,44.00,NA,20+
2016-02-06 08:13:05.423,570163793,Perfect Form Ankle Pants,0.0,0,85.80,NA,NA,00 - Short,20+
2016-02-06 08:13:05.423,570163793,Perfect Form Ankle Pants,0.0,0,85.80,NA,NA,0 - Short,20+
2016-02-06 08:13:05.423,570163793,Perfect Form Ankle Pants,0.0,0,85.80,NA,NA,2 - Short,20+
2016-02-06 08:13:05.423,570163793,Perfect Form Ankle Pants,0.0,0,85.80,NA,NA,4 - Short,20+
2016-02-06 08:13:05.423,570163793,Perfect Form Ankle Pants,0.0,0,85.80,NA,NA,6 - Short,20+
2016-02-06 08:13:05.423,570163793,Perfect Form Ankle Pants,0.0,0,85.80,NA,NA,8 - Short,20+
2016-02-06 08:13:05.423,570163793,Perfect Form Ankle Pants,0.0,0,85.80,NA,NA,10 - Short,20+
2016-02-06 08:13:05.423,570163793,Perfect Form Ankle Pants,0.0,0,85.80,NA,NA,12 - Short,20+
2016-02-06 08:13:05.423,570163793,Perfect Form Ankle Pants,0.0,0,85.80,NA,NA,14 - Short,20+
2016-02-06 08:13:05.423,570162457,Petite Saint Honore Slim Jeans,0.0,0,NA,64.35,85.80,00 - Petite,20+
